participant_id	age	sex education_level
sub-01	23	f   1
sub-02	31	f   2
sub-03	19	f   1
sub-04	23	f   1
sub-05	24	m   1
sub-06	30	m   2
sub-07	19	m   1
sub-08	22	m   1
sub-09	34	f   2
sub-10	19	m   1
sub-11	26	m   2
sub-12	21	m   1
sub-13	20	f   1
sub-14	33	f   2
sub-15	20	f   1
sub-16	30	m   2
sub-17	40	f   2
sub-18	27	m   2
sub-19	24	f   1
sub-20	39	f   2
sub-21	33	m   2
sub-22	25	f   2
sub-23	23	m   1
