participant_id	age	sex	handedness
sub-01_1	26	M	right
sub-02_1	33	M	right
sub-03_1	36	F	right
sub-04_1	32	M	right
sub-05_1	19	F	right
sub-06_1	54	F	right
sub-07_1	25	M	right
sub-08_1	36	F	right
sub-09_1	20	M	right
sub-10_1	16	M	right
sub-11_1	22	M	right
sub-12_1	22	M	right
sub-13_1	25	M	right
sub-14_1	10	M	right
sub-15_1	6	F	right
sub-16_1	17	M	right
sub-17_1	26	M	right
sub-18	29	F	right
sub-19_1	15	M	right
sub-20_1	37	M	right
sub-21_1	38	M	right
sub-22_1	24	F	right
sub-23_1	16	F	right
sub-24_1	51	F	right
sub-25_1	23	F	right
sub-26_1	11	M	right
sub-27_1	26	F	right
sub-28_1	19	M	right
sub-29_1	19	M	right
sub-30_1	27	F	right
sub-31_1	20	M	right
sub-32_1	30	F	right
sub-33_1	17	F	right
sub-34_1	21	F	right
sub-35_1	11	M	right
sub-36	33	F	right
sub-37_1	9	M	right
sub-38_1	37	M	right
sub-39_1	22	M	right
sub-40_1	40	M	right
